名称 代码 N E Z
p2  4429192.441 442156.459 40.217
p3  4429192.797 442154.283 40.227
p4  4429194.984 442151.332 40.313
p5  4429199.361 442149.520 40.286
p6  4429203.799 442149.143 40.406
p7  4429214.452 442148.484 40.203
p8  4429224.758 442147.880 40.204
p9  4429235.604 442147.119 40.229
p10  4429252.265 442145.184 40.112
Set  4429255.270 442150.141 40.265
Set1  4430506.855 442633.598 38.602
Set2  4430506.067 442633.624 38.616
Set3  4430506.987 442633.833 37.641
Set4  4430506.036 442633.818 37.604
Park000  4430509.376 442646.119 38.931
Park001  4430509.651 442638.573 38.898
Park002  4430509.776 442611.828 38.863
Park003  4430489.437 442611.380 39.017
Park004  4430471.392 442618.955 39.024
Park005  4430466.990 442627.227 39.085
Park006  4430466.995 442645.870 39.179
Park007  4430479.411 442647.554 38.980
Park008  4430504.359 442647.765 38.798
Park009  4430509.385 442646.266 38.779
Center  4430489.883 442634.062 38.850
Center1  4429256.267 442149.071 40.086
Center2  4429255.859 442148.127 40.061
P0  4430507.389 442634.226 37.645
P1  4430508.338 442634.250 37.653
P2  4430506.765 442633.377 37.697
P3  4430506.795 442632.423 37.631
N0  4430506.772 442626.190 38.373
N1  4430505.269 442623.812 38.372
N2  4430503.751 442621.891 38.391
N3  4430507.777 442625.574 38.322
N4  4430506.179 442623.383 38.367
N5  4430504.475 442621.222 38.328
A0  4430501.469 442630.805 38.947
A1  4430500.413 442628.291 38.927
A2  4430498.863 442626.191 38.890
A3  4430506.167 442626.569 38.859
A4  4430506.436 442623.307 38.908
A5  4430503.363 442622.198 38.868
A6  4430507.098 442626.081 38.284
A7  4430507.265 442622.700 38.348
A8  4430504.115 442621.549 38.334
