名称 纬度 经度 84H
p2 39°59'41.96216" 116°19'21.64340" 40.217
p3 39°59'41.97317" 116°19'21.55156" 40.227
p4 39°59'42.04333" 116°19'21.42645" 40.313
p5 39°59'42.18480" 116°19'21.34868" 40.286
p6 39°59'42.32860" 116°19'21.33139" 40.406
p7 39°59'42.67379" 116°19'21.30020" 40.203
p8 39°59'43.00776" 116°19'21.27140" 40.204
p9 39°59'43.35919" 116°19'21.23586" 40.229
p10 39°59'43.89889" 116°19'21.14895" 40.112
Set 39°59'43.99753" 116°19'21.35695" 40.265
Set1 40°00'24.69262" 116°19'41.33793" 38.602
Set2 40°00'24.66707" 116°19'41.33930" 38.616
Set3 40°00'24.69695" 116°19'41.34781" 37.641
Set4 40°00'24.66612" 116°19'41.34748" 37.604
Park000 40°00'24.77741" 116°19'41.86499" 38.931
Park001 40°00'24.78447" 116°19'41.54680" 38.898
Park002 40°00'24.78200" 116°19'40.41921" 38.863
Park003 40°00'24.12250" 116°19'40.40678" 39.017
Park004 40°00'23.53933" 116°19'40.73188" 39.024
Park005 40°00'23.39862" 116°19'41.08203" 39.085
Park006 40°00'23.40336" 116°19'41.86798" 39.179
Park007 40°00'23.80629" 116°19'41.93503" 38.980
Park008 40°00'24.61516" 116°19'41.93601" 38.798
Park009 40°00'24.77774" 116°19'41.87122" 38.779
Center 40°00'24.14250" 116°19'41.36291" 38.850
Center1 39°59'44.02960" 116°19'21.31155" 40.086
Center2 39°59'44.01611" 116°19'21.27188" 40.061
P0 40°00'24.71007" 116°19'41.36424" 37.645
P1 40°00'24.74084" 116°19'41.36495" 37.653
P2 40°00'24.68966" 116°19'41.32864" 37.697
P3 40°00'24.69039" 116°19'41.28842" 37.631
N0 40°00'24.68811" 116°19'41.02563" 38.373
N1 40°00'24.63880" 116°19'40.92586" 38.372
N2 40°00'24.58911" 116°19'40.84538" 38.391
N3 40°00'24.72055" 116°19'40.99935" 38.322
N4 40°00'24.66819" 116°19'40.90749" 38.367
N5 40°00'24.61243" 116°19'40.81692" 38.328
A0 40°00'24.51731" 116°19'41.22190" 38.947
A1 40°00'24.48248" 116°19'41.11625" 38.927
A2 40°00'24.43171" 116°19'41.02821" 38.890
A3 40°00'24.66861" 116°19'41.04184" 38.859
A4 40°00'24.67653" 116°19'40.90421" 38.908
A5 40°00'24.57662" 116°19'40.85844" 38.868
A6 40°00'24.69867" 116°19'41.02094" 38.284
A7 40°00'24.70324" 116°19'40.87838" 38.348
A8 40°00'24.60084" 116°19'40.83083" 38.334
